Sector,Community Name,Category,Crime Count,Date,Year,Month,ID,Resident Count,Community Center Point,Calgary Communities,Ward Boundaries 2013-2017,Ward Boundaries,City Quadrants
,14V,Break & Enter - Commercial,1,2019/04,2019,APR,2019-APR-14V-Break & Enter - Commercial,,,,,,
,02A,Assault (Non-domestic),1,2019/12,2019,DEC,2019-DEC-02A-Assault (Non-domestic),,,,,,
,10A,Theft FROM Vehicle,1,2019/01,2019,JAN,2019-JAN-10A-Theft FROM Vehicle,,,,,,
,10C,Theft OF Vehicle,1,2019/11,2019,NOV,2019-NOV-10C-Theft OF Vehicle,,,,,,
,14V,Theft FROM Vehicle,1,2019/01,2019,JAN,2019-JAN-14V-Theft FROM Vehicle,,,,,,
,14V,Break & Enter - Commercial,1,2019/01,2019,JAN,2019-JAN-14V-Break & Enter - Commercial,,,,,,
,14V,Theft FROM Vehicle,1,2019/04,2019,APR,2019-APR-14V-Theft FROM Vehicle,,,,,,
,05B,Theft OF Vehicle,1,2019/04,2019,APR,2019-APR-05B-Theft OF Vehicle,,,,,,
WEST,01C,Theft FROM Vehicle,1,2019/08,2019,AUG,2019-AUG-01C-Theft FROM Vehicle,,POINT (-114.2380197 51.08500322),291,9,13,1
,10C,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-10C-Theft OF Vehicle,,,,,,
SOUTH,PARKLAND,Theft OF Vehicle,1,2019/01,2019,JAN,2019-JAN-PARKLAND-Theft OF Vehicle,,POINT (-114.0285394 50.9211972),117,13,6,3
SOUTH,SOMERSET,Street Robbery,1,2019/02,2019,FEB,2019-FEB-SOMERSET-Street Robbery,,POINT (-114.0813075 50.89869686),55,6,5,1
WEST,LAKEVIEW,Theft OF Vehicle,1,2019/11,2019,NOV,2019-NOV-LAKEVIEW-Theft OF Vehicle,,POINT (-114.1296334 50.99977294),129,5,8,1
NORTH,STONEY 1,Assault (Non-domestic),1,2019/09,2019,SEP,2019-SEP-STONEY 1-Assault (Non-domestic),,POINT (-114.0246985 51.16118788),163,12,11,4
,03S,Theft OF Vehicle,1,2019/11,2019,NOV,2019-NOV-03S-Theft OF Vehicle,,,,,,
NORTHWEST,BRENTWOOD,Street Robbery,1,2019/07,2019,JUL,2019-JUL-BRENTWOOD-Street Robbery,,POINT (-114.1359145 51.0960662),50,4,7,2
EAST,DOVER,Commercial Robbery,1,2019/02,2019,FEB,2019-FEB-DOVER-Commercial Robbery,,POINT (-113.9931505 51.02246299),196,11,10,3
NORTHWEST,HAWKWOOD,Theft OF Vehicle,1,2019/09,2019,SEP,2019-SEP-HAWKWOOD-Theft OF Vehicle,,POINT (-114.1756052 51.13097352),248,10,3,2
CENTRE,ALTADORE,Street Robbery,1,2019/09,2019,SEP,2019-SEP-ALTADORE-Street Robbery,,POINT (-114.1007947 51.01594847),200,2,8,1
,10A,Theft OF Vehicle,2,2019/11,2019,NOV,2019-NOV-10A-Theft OF Vehicle,,,,,,
,10A,Break & Enter - Commercial,2,2019/10,2019,OCT,2019-OCT-10A-Break & Enter - Commercial,,,,,,
NORTHWEST,TUSCANY,Theft OF Vehicle,2,2019/09,2019,SEP,2019-SEP-TUSCANY-Theft OF Vehicle,,POINT (-114.2407907 51.12188985),158,9,13,2
EAST,DOVER,Commercial Robbery,2,2019/12,2019,DEC,2019-DEC-DOVER-Commercial Robbery,,POINT (-113.9931505 51.02246299),196,11,10,3
CENTRE,SUNNYSIDE,Theft FROM Vehicle,3,2019/05,2019,MAY,2019-MAY-SUNNYSIDE-Theft FROM Vehicle,,POINT (-114.0790263 51.0564192),62,7,7,2
CENTRE,ERLTON,Theft FROM Vehicle,4,2019/04,2019,APR,2019-APR-ERLTON-Theft FROM Vehicle,,POINT (-114.0631474 51.02632812),187,5,10,1
SOUTHEAST,OGDEN,Theft FROM Vehicle,6,2019/02,2019,FEB,2019-FEB-OGDEN-Theft FROM Vehicle,,POINT (-114.0125847 50.99209613),28,11,10,3
